Feature,Importance
V14,0.4358197
V10,0.13535127
V4,0.048595835
V8,0.03338203
V12,0.030113732
V13,0.018642398
Amount_Log,0.018484034
V18,0.017952006
V17,0.016041819
Time,0.01595941
Hour,0.015841555
V1,0.015312127
V3,0.014653874
Amount,0.014161302
V26,0.013647006
V11,0.012299779
V7,0.012053935
V20,0.011745378
V22,0.010874993
V19,0.010691607
V24,0.010207969
V16,0.009492742
V9,0.009183516
V23,0.008638398
V2,0.008400404
V28,0.0082739685
V25,0.008186588
V21,0.007749752
V5,0.0077045104
V27,0.0073311613
V15,0.0070481594
V6,0.006159054
